person_id-question_id,avg_words_per_chunk,speech_rate,unique_words_per_speech,transcribe_confidence,num_grammar_error,grade
1-2,4.25,1.35,1.493506494,0.92012155,1,B
1-3,6.428571429,1.6,1.954887218,0.82796465,1,B
1-4,4.181818182,1.85,1.768707483,0.9472898,1,B
1-5,5,1.3,1.951219512,0.847916,1,C
1-6,5.111111111,1.3,2.033898305,0.78650227,2,B
1-7,2.75,1.45,1.5625,0.95176,1,B
1-8,4.111111111,1.65,1.52173913,0.88825506,1,B
1-9,5.285714286,1.6,1.862068966,0.8477136,1,C
1-10,4.545454545,2,1.923076923,0.9373435,0,C
2-2,6.428571429,1.95,1.925465839,0.94824743,0,A
2-3,14.66666667,2.1,2.071428571,0.9804422,1,A
2-4,8.8,2,1.858974359,0.9409094,1,B
2-5,6.8,1.5,1.631205674,0.9471023,2,A
2-6,5.571428571,1.65,2.421875,0.9337969,1,A
2-7,5.428571429,1.6,1.582278481,0.9602489,2,A
2-8,5.142857143,1.5,1.412429379,0.9557153,1,A
2-9,4.857142857,1.4,1.572327044,0.9523249,2,B
2-10,7.5,2,1.813186813,0.9580601,0,A
3-1,6.5,1.7,2.64957265,0.9068526,1,B
3-3,8.8,1.3,1.794871795,0.9198128,1,C
3-4,6.6,1.45,2.109375,0.9370888,2,B
3-5,6.4,1.45,2.280701754,0.91414857,1,B
3-6,4.5,1.8,2.083333333,0.91493535,1,B
3-7,5,1.75,1.585365854,0.873724425,2,C
3-8,5.857142857,1.75,1.666666667,0.9492212,0,C
3-9,6.142857143,1.85,1.807228916,0.91939557,1,C
3-10,8.4,1.9,2.391304348,0.93891525,1,B
4-1,4.5,1.15,1.681415929,0.9151077,1,B
4-2,8.75,1.6,2.213114754,0.8823971,1,A
4-3,7.75,1.45,2.123893805,0.9770095,1,B
4-5,11,1.55,2.525252525,0.92890394,1,A
4-6,5.8,1.25,1.694915254,0.91198313,1,B
4-7,7.8,1.75,1.858974359,0.9121618,2,B
4-8,6.5,1.7,1.862068966,0.9364963,1,B
4-9,6,1.8,1.761006289,0.92937525,2,B
5-1,5.428571429,1.6,2.014925373,0.9107895,2,A
5-2,7.6,1.7,1.791044776,0.93273956,1,A
5-3,5.727272727,2.65,1.979166667,0.9558961,1,A
5-4,7.5,2.05,1.666666667,0.971403115,1,A
5-5,8.75,2.6,1.86440678,0.9408539,2,A
5-6,5,2.1,1.965317919,0.94902766,1,A
5-7,4.7,1.9,1.754385965,0.95360065,1,B
5-8,5.555555556,2.1,1.56626506,0.95885736,1,B
5-9,7.5,2,2.635658915,0.9388227,1,A
6-1,6.111111111,2.35,1.967213115,0.9360234,2,A
6-2,8,2.5,2.020725389,0.93983454,2,A
6-3,5.666666667,1.45,1.596638655,0.8846114,2,B
6-4,4.538461538,2.4,2.010869565,0.943863,1,B
6-5,8,2.15,1.834319527,0.91820854,2,A
6-6,9,1.65,2.063492063,0.82462553,1,A
6-7,5.714285714,1.7,2.061068702,0.9209049,1,A
6-9,6,1.35,2.300884956,0.9131869,0,B
6-10,11.25,2.1,2.374100719,0.9253622,1,A
7-1,7.666666667,2.05,2.434210526,0.92248863,1,A
7-2,4.555555556,1.65,1.917808219,0.91459113,1,B
7-3,8.2,1.9,1.857142857,0.9263181,0,C
7-4,6.125,2.1,2.025316456,0.9293882,0,B
7-5,4.25,2,1.787709497,0.89681375,1,C
7-6,8.2,1.6,2.18487395,0.895041765,2,C
7-7,7.555555556,1.85,1.714285714,0.854450965,2,C
7-8,5,1.85,1.542553191,0.92331034,0,B
7-9,5.125,1.55,2.028985507,0.916002095,2,C
7-10,6.75,1.85,1.895424837,0.96419095,2,C
8-1,3.777777778,1.3,1.610738255,0.9116835,1,C
8-2,6.166666667,1.6,1.744966443,0.93138313,0,C
8-3,4.777777778,1.75,1.748251748,0.94448483,0,B
8-4,4.1,1.65,1.699346405,0.9356718,1,C
8-6,5.625,1.9,1.383647799,0.9594908,1,C
8-7,4.5,1.8,1.505376344,0.89072406,2,B
8-8,4.727272727,2.1,1.627906977,0.90486205,0,C
8-9,5.666666667,1.45,1.836734694,0.9263944,2,B
8-10,5.875,2,2.077922078,0.9106422,0,B
9-1,7.25,1.15,1.847826087,0.95054175,2,C
9-2,5.833333333,1.5,1.387283237,0.9555678,0,B
9-3,7.2,1.6,1.390728477,0.9392869,1,B
9-5,7.75,1.4,1.612903226,0.93783253,1,A
9-6,4.625,1.5,1.446540881,0.9594498,0,B
9-7,6,1.8,1.34502924,0.951395,1,B
9-8,8,1.85,1.823899371,0.945253325,0,B
9-9,6,2.05,1.955307263,0.9424267,2,A
9-10,8.5,1.55,1.585365854,0.93815094,0,B
10-1,10.33333333,1.5,1.937984496,0.9297332,2,B
10-3,5.714285714,1.7,1.8125,0.8959737,0,B
10-4,7.2,1.6,2.028985507,0.95199186,0,B
10-5,6.833333333,1.85,1.928571429,0.94374454,2,B
10-6,9.75,1.8,1.925925926,0.9349615,1,B
10-7,11.33333333,1.6,1.506849315,0.9005547,1,B
10-8,7.8,1.75,1.933333333,0.9275093,1,B
10-9,7.4,1.65,2.042253521,0.94518715,1,B
10-10,6.285714286,1.9,1.767955801,0.89084285,0,B
11-1,3.9,1.55,1.4,0.94577752,1,B
11-2,5.555555556,2.15,1.675977654,0.9278621,1,B
11-4,5,1.65,1.940298507,0.9292797,0,B
11-5,4,1.55,1.349693252,0.95440215,2,B
11-6,5.625,1.9,1.870967742,0.93814176,2,B
11-7,4.1,1.65,1.677419355,0.750214575,2,B
11-8,6.5,1.6,1.594202899,0.937390215,2,C
11-9,7,1.55,2.295081967,0.9054244,0,A
11-10,4.75,1.55,1.884057971,0.93738073,1,B
12-1,7.5,2,1.551724138,0.9462224,1,A
12-2,5.833333333,1.5,1.773049645,0.9278223,2,B
12-3,6,1.8,1.715976331,0.91450924,0,A
12-4,6.285714286,1.95,1.751412429,0.9056606,0,B
12-7,5.714285714,1.75,1.776315789,0.93313926,1,B
12-8,11,2.05,1.798941799,0.9471273,0,B
12-9,5,1.65,1.575757576,0.8830286,0,B
12-10,6.625,2.3,1.884816754,0.94672394,1,B
13-1,4.375,1.4,1.325966851,0.9491284,1,B
13-2,22,1.45,1.732283465,0.9117624,3,B
13-3,6,1.05,1.441441441,0.9472225,1,B
13-4,5.333333333,1.35,1.764705882,0.9367291,1,B
13-5,3.833333333,0.9,1.651376147,0.9812068,1,B
13-6,6.625,1.25,1.343283582,0.9363099533,2,B
13-7,7,1.25,1.705426357,0.94199255,2,B
13-9,7.333333333,1.1,1.834862385,0.93532587,1,B
13-10,7.857142857,1.55,1.5625,0.9650997333,2,B
14-1,8,2.15,1.813186813,0.9496526,0,B
14-2,13,2.45,2.027027027,0.9412193,0,A
14-3,7.666666667,3.1,2.065217391,0.948248,0,B
14-4,9.142857143,2.9,2.176165803,0.92684793,1,A
14-5,9.714285714,3.15,2.666666667,0.92787665,1,A
14-6,6.714285714,2.1,1.942857143,0.9641257,1,A
14-7,6.285714286,1.9,1.904761905,0.94457513,1,B
14-8,4.545454545,2,1.413612565,0.9605498,0,B
14-9,6.8,1.5,2,0.9647546,1,B
14-10,7.857142857,2.45,2.155688623,0.95536745,3,B
15-1,5.25,0.9,1.142857143,0.9131367,1,B
15-2,4,1.55,1.292134831,0.9184854,0,B
15-3,7.571428571,1.85,1.523178808,0.967943,3,B
15-4,6.166666667,1.6,1.578947368,0.97430813,1,A
15-5,4.375,1.4,1.470588235,0.9135199,2,A
15-6,6,1.55,1.608391608,0.9348287,1,A
15-7,5.428571429,1.6,1.292134831,0.9486954,2,B
15-8,11.4,1.5,1.343283582,0.9581609,2,B
15-9,9.375,1.35,1.366906475,0.9477346533,3,B
16-1,4.714285714,1.35,1.503267974,0.95451725,1,B
16-2,8.4,1.9,1.757575758,0.9470784,1,B
16-3,7.166666667,1.9,1.797752809,0.9303351,2,B
16-4,5.285714286,1.55,1.270718232,0.95054084,2,B
16-5,6.714285714,2.05,1.695906433,0.9321761,2,B
16-6,6.285714286,1.7,1.736526946,0.9592241,2,B
16-7,11.25,2.1,2.272727273,0.9452083,2,B
16-9,10,2.8,2.173913043,0.9017786,1,B
16-10,6,1.8,1.525423729,0.9357126,1,B
17-1,9,2.05,2.0625,0.92373693,1,C
17-2,7.666666667,2.1,2.266666667,0.93411994,0,B
17-3,10.16666667,2.8,2.131147541,0.84979993,2,B
17-4,4.666666667,1.7,1.806451613,0.9020402,1,B
17-5,5.857142857,1.75,1.875,0.92293483,1,B
17-6,5.285714286,1.55,1.700680272,0.8325162,1,C
17-7,6.25,2.15,1.72972973,0.9502209,1,B
17-8,6.333333333,1.65,1.806451613,0.93063104,2,B
17-9,7.25,2.55,2.119565217,0.9439991,2,B
18-1,5,1.65,1.824324324,0.9292315,1,B
18-2,6,1.6,1.612903226,0.8944731,2,A
18-3,9.25,1.7,2.300884956,0.9184549,7,A
18-4,4.333333333,1.55,1.451612903,0.8812499,2,B
18-5,4.857142857,1.4,1.678832117,0.89881027,1,A
18-6,5.833333333,1.5,2.307692308,0.9193604,0,A
18-7,7,1.85,1.34502924,0.9443996,1,B
18-8,9.25,1.7,1.78343949,0.8800616,4,B
18-9,7,2.45,1.884816754,0.885598,1,B
19-1,13.5,2.1,2.60869565,0.80961263,0,A
19-2,11.8,1.55,2.37113402,0.85613095,1,B
19-3,7.44444444,2.2,2.03592814,0.88157605,0,B
19-4,6,1.85,2.40310078,0.89888805,0,B
19-5,10.1428571,1.85,2.41935484,0.84317672,0,B
19-7,9.8,1.6,2.84313725,0.83453147,1,C
19-8,10.25,1.8,1.88405797,0.86840353,0,C
19-9,9.66666667,2.15,2.14765101,0.83940725,0,B
19-10,11.5,2.15,2.96296296,0.9029775,0,A
20-1,5.125,1.7,1.67741935,0.9284403,0,C
20-2,5.6,1.2,2.15686275,0.9239762,1,C
20-3,9.5,1.35,2.11764706,0.89170605,0,B
20-4,7.4,1.25,2.22222222,0.89512512,0,C
20-5,6.55555556,1.45,1.64285714,0.8807093,0,C
20-6,4.33333333,1.55,1.30952381,0.8493393,0,C
20-7,14,1.9,2.21374046,0.86497693,1,B
20-8,8.8,2,1.79104478,0.9489509,0,A
20-10,6.83333333,1.8,2.17687075,0.92455745,0,A
21-1,13.3333333,1.3,2.21153846,0.92515165,0,A
21-2,5.6,1.2,2.31578947,0.93501055,1,C
21-3,10.25,1.9,2.35772358,0.95895034,0,A
21-5,5.85714286,1.75,2.16783217,0.93661314,0,C
21-6,10.2,1.85,2.4,0.94931613,0,B
21-7,7.16666667,1.9,1.51898734,0.8919402,1,B
21-8,10.5,1.95,2.25,0.9445918,1,A
21-9,6.125,2.1,2.01183432,0.9550808,0,A
21-10,7.2,1.6,2.01612903,0.9066968,0,A
22-1,5.8,1.1,1.428571429,0.97166348,0,B
22-2,5.833333333,1.5,1.28342246,0.9033471,0,B
22-3,5.285714286,1.6,1.413043478,0.9375367,0,B
22-4,5.166666667,1.3,1.543624161,0.966338,0,B
22-5,5.428571429,1.6,1.351351351,0.9298187,0,B
22-6,5.833333333,1.5,1.286549708,0.9723112,0,B
22-7,4.833333333,1.2,1.527777778,0.945882,0,B
22-9,5.285714286,1.55,1.629213483,0.956993,0,B
22-10,6.333333333,1.65,1.542857143,0.97331095,0,A
